Index,Name_kor,Name_eng,계절,cluster,Language,Explanation,Prune,Manage
11,아레나그린 리시안셔스,Arenagreen Lisianthus,여름,변함없는 사랑과 성실,변치않는 사랑,리시안셔스는 다양한 색의 꽃잎을 자랑합니다. 그중에서도 아레나그린 리시안셔스는 하얀색 꽃잎에 은은한 녹색빛이 번져있어 어디에나 잘 어울리는 꽃입니다. 얇은 꽃잎에도 불구하고 관상기간은 긴 편입니다. 직사광선을 피해 싱싱한 물에 담가놓을 시 더욱 오래 볼 수 있습니다.,꽃다듬기- 물속에 잠기는 부분의 잎사귀는 전부 제거합니다.- 줄기의 끝 부분을 사선으로 컷팅하여 물에 담구어 줍니다.- 잎의 밑부분과 줄기가 쉽게 꺾이므로 꽃을 컨디셔닝 할 때 조심히 다뤄야 합니다.,꽃 관리 방법- 타품종에 비해 습짐의 우려가 있어 습도가 높은 공간은 피해주세요.- 직사광선을 피해 싱싱한 물에 담가놓을 시 더욱 오래 볼 수 있습니다.- 꽃잎이 배송 중 눌려 있을 수 있습니다.- 꽃잎에 유통 과정에서 생기는 스크래치가 있을 수 있습니다.
12,스타티스,Statice,여름,변함없는 사랑과 성실,"변함없는 사랑, 영구불변",스타티스는 말려도 본연의 색과 형태를 유지하는 꽃입니다. 수명도 길어 건조화나 압화소재로도 많이 사용되며 바스락거리는 질감이 특징입니다. 꽃이 변해서 고민하셨던 분들께 추천드립니다. 변지 않는 것을 좋아해 꽃 선물을 망설이시는 분을 위한 꽃입니다. 스타티스 생화는 매력적이지만 말려도 특유의 색과 모양을 유지합니다. 그래서 드라이 플라워와 압화로 많이 활용됩니다. 앞으로 함깨 만들어갈 시간이 기대되는 사람에게 영원한 사랑을 뜻하는 스타티스를 건내보세요. ,"꽃다듬기- 물 올림이 좋고, 꽃 수명도 길어 유용하다. - 줄기의 끝 부분을 사선으로 컷팅하여 물에 담구어 줍니다. ",꽃 관리 방법- 스타티스는 원래 마른 듯 바스락거리는 질감을 가지고 있습니다. - 드라이가 가능한 소재입니다.- 독특한 냄새가 나므로 과도하게 사용하지는 않습니다. 
13,핑크 리시안셔스,Pink Lisianthus,여름,변함없는 사랑과 성실,변치않는 사랑,"리시안셔스는 장미만큼이나 널리 사용되는 꽃으로, 단품으로도 예쁘고 다른 꽃들과의 매치에도 잘 어울립니다.  '변치 않는 사랑'이라는 꽃말답게 웨딩부케나 연인에게 선물하는 꽃다발에도 자주 사용됩니다. 프릴과 같은 얇은 꽃잎이 겹겹이 풍성한 드레스를 떠올리게 하며, 얇은 꽃잎에도 불구하고 관상기간은 긴 편입니다. 직사광선을 피해 싱싱한 물에 담가놓을 시 더욱 오래 볼 수 있습니다. ",꽃다듬기- 물속에 잠기는 부분의 잎사귀는 전부 제거합니다.- 줄기의 끝 부분을 사선으로 컷팅하여 물에 담구어 줍니다.,꽃 관리 방법  - 타품종에 비해 습짐의 우려가 있어 습도가 높은 공간은 피해주세요.- 열과 습기에 약하기 때문에 시원한 물로 하루에 한 번씩 갈아주고 관리해 주시면 좋습니다.
14,캡틴로망스 카라,Captain Romance Calla,"봄, 여름",청결과 순수 ,"청결, 순수","줄기의 곡선이 우아함 그 자체를 나타내는 아름다운 카라입니다. 카라의 여러 품종중 캡틴로망스는 와인빛을 띠는게 특징으로 고혹적인 자태를 뽑냅니다. 카라는 연출하는 방법에 따라 다른 느낌을 주는데, 줄기가 유연하게 휘어지기 때문에 손으로 마사지를 하여 라인을 잡은 뒤 화기에 아름다운 라인을 그대로 노출시켜서 연출하면 그 매력을 잘 살릴 수 있습니다.",꽃다듬기- 줄기의 방향을 원하는 곡선으로 손으로 마사지해줍니다.- 줄기 끝을 가위로 일자로 컷팅하여 화병에 꽂아줍니다.,꽃 관리 방법- 화병 속의 물을 깨끗이 유지시켜줍니다.- 줄기는 3일에 한번씩 컷팅해줍니다.- 흐르는 물에 줄기를 매일 닦아주면 처음 모습 그대로 오래동안 볼 수 있습니다.
15,벤츄라 카라,Ventura Calla,"봄, 여름",독특한 아름다움 ,소녀의 단아함 ,"꽃잎과 이어지는 줄기의 곡선이 우아함 그 자체를 나타내는 아름다운 카라입니다. 벤츄라 카라는 화이트 계열 카라로 '천년의사랑,소녀의 단아함'이라는 꽃말을 가지고 있고, 카라 본연의 우아함과 단아함을 가장 잘 나타내는 품종이라 할 수 있습니다. 카라는 연출하는 방법에 따라 다른 느낌을 주는데, 줄기가 유연하게 휘어지기 때문에 손으로 마사지를 하여 라인을 잡은 뒤 화기에 라인을 그대로 노출시켜서 연출하면 카라의 매력을 잘 살릴 수 있습니다. ",꽃다듬기- 줄기의 방향을 원하는 곡선으로 손으로 마사지해줍니다.- 줄기 끝을 가위로 일자로 컷팅하여 화병에 꽂아줍니다.,꽃 관리 방법- 화병 속의 물을 깨끗이 유지시켜줍니다.- 줄기는 3일에 한번씩 컷팅해줍니다.- 흐르는 물에 줄기를 매일 닦아주면 처음 모습 그대로 오래동안 볼 수 있습니다.
16,화이트 프리지아,White Freesia,봄,동심과 희망 ,"익살스러움, 천진난만함","산뜻한 향이 특징인 프리지아는 완만하게 뻗은 줄기 끝에 꽃이 달린 모양입니다. 특히 백색 프리지아는 특유의 청순한 분위기가 특징입니다. 꽃말로는 신뢰, 순수, 인내를 상징해 신혼부부를 생각나게 합니다. ","꽃다듬기[컨디셔닝] 줄기의 끝부분을 사선으로 잘라 물에 담가줍니다.[관리 방법] 온도가 높은 계절에는 차가운 물로 화병을 자주 갈아 주며, 줄기 끝을 다시 잘라 수화작용을 원활하게 해주세요.",꽃 관리 방법- 봉오리 부분이 배송되는 경우가 있으나 아래쪽부터 차례대로 피어나니 물꽂이 한 상태로 조금만 기다려주세요.
17,쏠레이 프리지아,Solé Freesia,봄,동심과 희망 ,"익살스러움, 천진난만",프리지아는 붓꽃과로 긴 줄기로 라인을 살려 연출하기 좋습니다. 봉오리가 차례로 벌어지는게 특징이라 꽃이 피는 과정도 지켜볼 수 있습니다. 자기애 강한 나르시스를 흠모한 숲의 요정 후리지아에서 유래되었습니다. 멀리서 바라만 봤을 후리지아처럼 수줍은 진심을 표현하기 좋은 꽃이예요. 프리지아 봉오리가 하나씩 피면 은은하고 산뜻한 향을 따라 순수한 마음이 전달될 거예요.,꽃다듬기- 개화가 끝난 꽃을 수시로 제거해주면 봉오리 상태인 것도 개화합니다. - 줄기의 끝 부분을 사선으로 컷팅하여 물에 담구어 줍니다.,"꽃 관리 방법- 프리지아는 봉오리 상태로 배송될 수 있으나, 물꽂이 해주시면 봉오리의 끝까지 예쁘게 개화합니다."
18,핑크파티 장미,Pink Party Rose,봄,변함없는 사랑과 성실 ,"맹세, 행복한 사랑",전 세계적으로 사랑받는 장미는 3만 여종이 넘는데요. 가장 친숙한 품종이 딥핑크 핑크파티입니다. 추운 겨울철 연인에게 마음을 녹여줄 수 있는 핑크파티를 선물해보세요.,"꽃다듬기[가시 제거] 가시가 날카로워 주의하셔야 하며, 가시는 가위로 자르거나 가시 제거기로 제거할 수 있습니다.[컨디셔닝] 잎사귀는 꽃받침 아래 2-3개를 제외하고 전부 제거하고 줄기의 끝부분을 사선으로 잘라 물에 담가줍니다.[관리 방법] 온도가 높은 계절에는 차가운 물로 화병을 자주 갈아 주며, 줄기 끝을 다시 잘라 수화작용을 원활하게 해주세요.","꽃 관리 방법장미의 겉잎은 속잎을 보호하기 위한 용도로 제거하지 않고 보내드리니, 스크래치가 있다면 받아보신 후 떼어서 즐겨주세요."
19,카탈리나 장미,Catalina Rose,봄,변함없는 사랑과 성실 ,"질투,비밀,영원한 사랑",연노랑색의 얇은 꽃잎이 겹겹이 모여있는 카탈리나 장미는 스프레이형 장미로 한줄기에 알사탕 같은 꽃봉우리가 여러 개 붙어있습니다.언뜻보면 작약이나 라넌큘러스와 헷갈릴 정도로 빼곡하게 많은 잎이 모여 동그란 꽃모양을 자랑하는 장미에요. 빼곡한 꽃잎이 꼭 서로를 감싸 안아주는것 처럼 보인답니다. 오늘 하루에 따듯한 위로가 필요하다면 포근한 카탈리나 장미와 함께하세요.,꽃다듬기- 가시가 날카로워 가시 제거 시 주의해야 합니다.- 잎사귀는 꽃받침 아래 2-3개를 제외하고 전부 제거합니다.- 줄기의 끝 부분을 사선으로 컷팅하여 물에 담구어 줍니다.,"꽃 관리 방법- 온도가 높은 계절에는 화병 속 물을 자주 갈아주세요.- 물을 갈아줄 때에는 줄기 끝을 재 절단하여 수화작용을 원활하게 해주세요.- 꽃을 꽂을 때에 길이를 너무 짧게 커팅해 버린다면, 꽃의 관상기간이 짧아지게 되므로 이 점은 반드시 유의하고 커팅 해주세요. "
20,마루시아 장미,Marusia Rose,봄,감사와 기쁨,존경,하얀 장미계의 여왕이라 불리우는 마루시아 장미는 우아한 아이보리빛을 띄는 장미입니다.크고 화려한 꽃송이가 주는 마루시아 장미의 존재감 덕분에 '존경' 이라는 꽃말이 더욱 빛을 발하는 것 같아요.동화 이상한 나라의 앨리스에 나오는 여왕이 시샘하여 붉게 칠함을 명령한 마음을 이해하게 되는 장미입니다.,꽃다듬기- 가시가 날카로워 가시 제거 시 주의해야합니다.- 잎사귀는 꽃받침 아래 2-3개를 제외하고 전부 제거합니다.- 줄기의 끝 부분을 사선으로 컷팅하여 물에 담구어 줍니다.,꽃 관리 방법- 온도가 높은 계절에는 화병 속 물을 자주 갈아주세요.- 물을 갈아줄 때에는 줄기 끝을 재 절단하여 수화작용을 원활하게 해주세요.- 배송 시 일부 눌림 자국이 있을 수 있습니다.
21,클라린스 장미,Clarins Rose,봄,동심과 희망,"수줍음, 첫사랑의 고백","진한 오렌지 컬러로 사랑스럽고 발랄한 느낌을 주는 클라린스 장미입니다. 만개 시에도 활짝 피었다는 느낌이 적을 수 있지만 다른 장미와 달리 꽃잎이 단단하고 톱니와 같은 꽃잎 끝모양이 클라린스 장미의 특징입니다. 토양과 채광, 수확 시기에 따라 오렌지빛이 옅거나 진해질 수 있습니다. ",꽃다듬기- 가시가 날카로워 가시 제거 시 주의해야합니다.- 잎사귀는 꽃받침 아래 2-3개를 제외하고 전부 제거합니다.- 줄기의 끝 부분을 사선으로 컷팅하여 물에 담구어 줍니다.,"꽃 관리 방법- 온도가 높은 계절에는 화병 속 물을 자주 갈아주세요.- 물을 갈아줄 때에는 줄기 끝을 재절단하여 수화작용을 원활하게 해주세요.- 꽃을 꽂을 때에 길이를 너무 짧게 커팅해 버린다면, 그만큼 꽃의 관상기간도 짧아지게 되므로 이 점은 반드시 생각하고 길이를 커팅 해주세요. "
22,푸에고 장미,Fuego Rose,봄,사랑과 열정,열정적인 사랑,"푸에고 장미는 레드 계열 장미 중에 가장 화형이 크고 줄기가 단단한 장미입니다. 다른 품종에 비해 꽃잎에 겹이 많아 개화하는 데 오래 걸리지만, 그만큼 함께 하는 즐거움을 더욱 느낄 수 있고 오래 볼 수 있습니다. '열렬한 사랑'이라는 꽃말과 너무나도 잘 어울리게 강렬하고 정열적인 레드컬러가 돋보이는 장미로, 옅은 컬러의 다른 장미 또는 그린 컬러의 소재와 함께 하면 더욱 멋진 연출이 가능합니다.",꽃다듬기- 가시가 날카로워 가시 제거 시 주의해야 합니다.- 잎사귀는 꽃받침 아래 2-3개를 제외하고 전부 제거합니다.- 줄기의 끝 부분을 사선으로 컷팅하여 물에 담구어 줍니다.,"꽃 관리 방법- 온도가 높은 계절에는 화병 속 물을 자주 갈아주세요.- 물을 갈아줄 때에는 줄기 끝을 재 절단하여 수화작용을 원활하게 해주세요.- 꽃을 꽂을 때에 길이를 너무 짧게 커팅해 버린다면, 꽃의 관상기간이 짧아지게 되므로 이 점은 반드시 유의하고 커팅 해주세요. "
23,라넌큘러스,Ranunculus,봄,독특한 아름다움 ,"화사한 매력, 명성",코랄핑크의 수많은 꽃잎이 하나씩 펼치며 공간을 꽉 채우는 꽃입니다. 하늘하늘한 꽃잎에도 튼튼하게 자라 농원에서 특히 사랑받는답니다. 있는 그대로 본연의 색을 잘 간직하면서 한겹 한겹 피워내는 단단한 매력이 있답니다. 꾸밈없는 아름다움을 간직한 사람에게 전해보세요.,"꽃다듬기[컨디셔닝] 잎의 밑부분과 줄기가 쉽게 꺾이므로 꽃을 컨디셔닝 할 때 조심히 다뤄야해요. 잎은 꽃받침 아래 2-3개를 제외하고 전부 제거하여 물에 잠기는 부분에 잎이 없도록 합니다. 잎 정리 후 줄기의 끝부분을 사선으로 잘라 물에 담가줍니다.[관리 방법] 온도가 높은 계절에는 차가운 물로 화병을 자주 갈아 주며, 줄기 끝을 다시 잘라 수화작용을 원활하게 해주세요.","꽃 관리 방법- 봉오리 꽃은 개화하기 전이라 크기가 작아 보일 수 있으나, 따뜻해지면 꽃이 점차 개화하며 큰 화형이 나타납니다.- 꽃잎이 연약하여 스크래치가 쉽게 생기고, 줄기가 비어 있어 꺾이기 쉬우니 주의하세요."
24,버터플라이 라넌큘러스,Butterfly Ranunculus,봄,동심과 희망 ,소녀의 꿈,"사계절 중 낮의 길이가 가장 긴 여름에 피는 수국입니다. 작은 꽃이 모여 동그랗고 큰 꽃을 만들어낸 수국의 외형은 ‘소녀의 꿈’이라는 꽃말과 참 잘 어울립니다.  작은 크기의 꽃잎들이 한데 몰려 있어 마치 나비 무리를 보는 것 같은 느낌을 들게 하는 블루 수국은 신비롭고 몽환적인 컬러로 오묘한 매력을 가지고 있는 품종입니다.일반적으로 사람들이 수국의 꽃잎으로 알고 있는 부분은 수국의 꽃받침으로, 수국의 꽃은 꽃받침 위에 아주 작게 위치해있으며 작은 구슬과 같은 모양을 하고 있습니다. ",꽃다듬기- 잎사귀는 예쁜 모양 1-2개를 제외하고 전부 제거합니다.- 줄기의 맨 끝을 사선 커팅 한 뒤에 다시 한번 수직으로 커팅 하여 물을 흡수하는 단면적을 넓혀줍니다.,꽃 관리 방법- 시들해진 수국은 꽃받침을 포함한 몸통과 줄기가 물속에 모두 잠길때까지 담궈두면 다시 짱짱하게 살아납니다.- 꽃받침에 반점이 생기거나 갈변하는 경우 솎아내어 관리하는 것이 수국을 오래 관상할 수 있는 방법입니다. 
25,델피니움,Delphinium,여름,독특한 아름다움 ,"청명, 고귀, 오만, 변덕",델피니움 꽃잎은 투명한 물빛입니다. 긴 줄기에 겹꽃이 달려 있어 하늘거리는 느낌입니다. 아이 처럼 여린 마음을 간직하고 있는 사람에게 선물해보세요.비칠 듯이 투명한 델피니움 꽃잎은 속마음을 다 드러내고 알아 달라는 아이와 비슷합니다. 내 옆에서만 아이처럼 연약한 모습을 보여주는 소중한 사람에게 건내주세요. 여린 마음을 그대로 지켜주고 싶은 당신의 진심이 전달될 거예요.  ,꽃다듬기- 개화가 끝난 꽃을 제거하면 오랫동안 관상할 수 있습니다- 잎은 제거하고 꽂는 것이 좋습니다. - 줄기의 끝 부분을 사선으로 컷팅하여 물에 담구어 줍니다.,꽃 관리 방법- 꽃잎이 매우 얇은 델피니움은 추위에 약합니다- 배송 후 너무 추운 실외에 오래 머물지 않도록 주의해주세요. - 꽃잎이 약해서 흐늘흐늘해보이나 자연스러운 현상입니다. - 개화 정도에 따른 크기 차이가 있을 수 있습니다.
26,열매 남천,Fruit Nandina,봄,변함없는 사랑과 성실 ,내 사랑은 더해만 가요,"남천은 남천죽이라고도 불립니다. 늦가을부터 붉은 열매가 맺고, 단풍이 들어 정원수로 많이 활용됩니다. 여러움이 오히려 좋은 일로 바뀐다'는 전화위복을 뜻하는 열매 남천은 겨울에 잘 어울립니다. 새하얀 눈과 대비되어 연말 분위기가 물씬 풍기기 때문이죠. 올해를 잘 마무리하고, 좋은 기운을 받아들이는 마음으로 열매 남천을 마련해보시는 건 어떨까요",꽃다듬기- 줄기를 끝 부분을 컷팅하여 물 속에 담구어 줍니다. - 간혹 줄기를 두드려줍니다. ,"꽃 관리 방법- 남천의 잎은 단풍이 들어 부분적으로 빨갛게 물들어있습니다. 열매와 줄기가 이어지는 부분이 약하기에, 배송 중에 열매의 일부가 떨어질 수도 있습니다.- 가지는 딱딱하면서도 약해서 겨울철에는 쉽게 부러질 수 있습니다."
27,피치팡팡 국화,Peach Pang Pang Chrysanthemum,봄,사랑과 행복,당신을 사랑해요,보기드문 버건디빛 폼폰형 국화인 피치팡팡 국화는 우아한 기품을 가진 당신에게가장 잘 어울리는 꽃이에요. 중심부에서 퍼져나가는 강렬한 색감이 매력적이에요.,꽃다듬기- 불 필요한 부분 또는 물속에 잠기는 부분의 잎사귀는 전부 제거합니다.- 줄기 끝은 사선으로 컷팅하여 화병에 꽂아줍니다.,꽃 관리 방법- 피치팡팡 국화는 계절과 수급 농가별로 색상의 차이가 있을 수 있습니다.- 잎 끝부분이 까맣게 타 있을 수 있습니다.
28,트로피컬 안스리움,Tropical Anthurium,"봄, 여름",부정,사랑의 번민,"이국적인 열대지방으로의 여행을 떠올리게하는 안스리움 입니다. 하트 모양의 포엽 속에 긴 꼬리 모양의 꽃 줄기가 있는 특이한 모양으로, 가운데 있는 꼬리처럼 생긴 부분이 진짜 '꽃'이어서 영어권에서는 Tail Flower 라고 부르기도 합니다. 분화상태의 안스리움은 집에서도 쉽게 수경재배를 할 수 있는 품종으로, 절화상태에서도 마찬가지로 물에 꽂아놓기만 하면 그 상태 그대로 오래 볼 수 있는 장점을 가졌습니다",꽃다듬기줄기 끝을 일자로 컷팅하여 화병에 꽂아줍니다.,"꽃 관리 방법- 화병 속 물은 깨끗하게 관리해 주어야 하며, 3일에 한 번씩 줄기를 흐르는 물에 닦아줍니다.- 줄기 끝을 컷팅해주면 더욱 오래 관상할 수 있습니다. "
